cweID,cweName,weaknessAbstraction,status,cweDescription
CWE-284,Improper Access Control,Pillar,Incomplete,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.
CWE-285,Improper Authorization,Class,Draft,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
CWE-287,Improper Authentication,Class,Draft,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
CWE-290,Authentication Bypass by Spoofing,Base,Incomplete,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.
CWE-295,Improper Certificate Validation,Base,Draft,"The software does not validate, or incorrectly validates, a certificate."
CWE-319,Cleartext Transmission of Sensitive Information,Base,Draft,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
CWE-326,Inadequate Encryption Strength,Class,Draft,"The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required."
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,Class,Draft,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.
CWE-330,Use of Insufficiently Random Values,Class,Stable,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.
CWE-347,Improper Verification of Cryptographic Signature,Base,Draft,"The software does not verify, or incorrectly verifies, the cryptographic signature for data."
CWE-354,Improper Validation of Integrity Check Value,Base,Draft,The software does not validate or incorrectly validates the integrity check values or checksums of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.
CWE-358,Improperly Implemented Security Check for Standard,Base,Draft,"The software does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique."
CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),Class,Draft,"The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."
CWE-369,Divide By Zero,Base,Draft,The product divides a value by zero.
CWE-400,Uncontrolled Resource Consumption,Class,Draft,"The software does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources."
CWE-401,Missing Release of Memory after Effective Lifetime,Variant,Draft,"The software does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory."
CWE-404,Improper Resource Shutdown or Release,Class,Draft,The program does not release or incorrectly releases a resource before it is made available for re-use.
CWE-415,Double Free,Variant,Draft,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations."
CWE-416,Use After Free,Variant,Stable,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
CWE-426,Untrusted Search Path,Base,Stable,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.
CWE-436,Interpretation Conflict,Class,Incomplete,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state."
CWE-457,Use of Uninitialized Variable,Variant,Draft,"The code uses a variable that has not been initialized, leading to unpredictable or unintended results."
CWE-460,Improper Cleanup on Thrown Exception,Base,Draft,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow."
CWE-476,NULL Pointer Dereference,Base,Stable,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
CWE-522,Insufficiently Protected Credentials,Class,Incomplete,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
CWE-532,Insertion of Sensitive Information into Log File,Base,Incomplete,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.
CWE-601,URL Redirection to Untrusted Site ('Open Redirect'),Base,Draft,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks."
CWE-617,Reachable Assertion,Base,Draft,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary."
CWE-665,Improper Initialization,Class,Draft,"The software does not initialize or incorrectly initializes a resource, which might leave the resource in an unexpected state when it is accessed or used."
CWE-667,Improper Locking,Class,Draft,"The software does not properly acquire or release a lock on a resource, leading to unexpected resource state changes and behaviors."
CWE-668,Exposure of Resource to Wrong Sphere,Class,Draft,"The product exposes a resource to the wrong control sphere, providing unintended actors with inappropriate access to the resource."
CWE-670,Always-Incorrect Control Flow Implementation,Class,Draft,"The code contains a control flow path that does not reflect the algorithm that the path is intended to implement, leading to incorrect behavior any time this path is navigated."
CWE-674,Uncontrolled Recursion,Class,Draft,"The product does not properly control the amount of recursion which takes place, consuming excessive resources, such as allocated memory or the program stack."
CWE-680,Integer Overflow to Buffer Overflow,Compound,Draft,"The product performs a calculation to determine how much memory to allocate, but an integer overflow can occur that causes less memory to be allocated than expected, leading to a buffer overflow."
CWE-681,Incorrect Conversion between Numeric Types,Base,Draft,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur."
CWE-682,Incorrect Calculation,Pillar,Draft,The software performs a calculation that generates incorrect or unintended results that are later used in security-critical decisions or resource management.
CWE-693,Protection Mechanism Failure,Pillar,Draft,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.
CWE-704,Incorrect Type Conversion or Cast,Class,Incomplete,"The software does not correctly convert an object, resource, or structure from one type to a different type."
CWE-732,Incorrect Permission Assignment for Critical Resource,Class,Draft,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
CWE-754,Improper Check for Unusual or Exceptional Conditions,Class,Incomplete,The software does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the software.
CWE-755,Improper Handling of Exceptional Conditions,Class,Incomplete,The software does not handle or incorrectly handles an exceptional condition.
CWE-763,Release of Invalid Pointer or Reference,Base,Incomplete,"The application attempts to return a memory resource to the system, but calls the wrong release function or calls the appropriate release function incorrectly."
CWE-770,Allocation of Resources Without Limits or Throttling,Base,Incomplete,"The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor."
CWE-772,Missing Release of Resource after Effective Lifetime,Base,Draft,"The software does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed."
CWE-787,Out-of-bounds Write,Base,Draft,"The software writes data past the end, or before the beginning, of the intended buffer."
CWE-824,Access of Uninitialized Pointer,Base,Incomplete,The program accesses or uses a pointer that has not been initialized.
CWE-834,Excessive Iteration,Class,Incomplete,The software performs an iteration or loop without sufficiently limiting the number of times that the loop is executed.
CWE-835,Loop with Unreachable Exit Condition ('Infinite Loop'),Base,Incomplete,"The program contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop."
CWE-862,Missing Authorization,Class,Incomplete,The software does not perform an authorization check when an actor attempts to access a resource or perform an action.
CWE-863,Incorrect Authorization,Class,Incomplete,"The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions."
CWE-908,Use of Uninitialized Resource,Base,Incomplete,The software uses or accesses a resource that has not been initialized.
CWE-909,Missing Initialization of Resource,Base,Incomplete,The software does not initialize a critical resource.
CWE-918,Server-Side Request Forgery (SSRF),Base,Incomplete,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination."
